record_id,Make,Model,Damage,Defect,Loading,Maneuver,driverVehicle_id,Plate number,Vehicle type,Engine number,Chassis number,Classification,Insurance details,same
22a190c4-46ae-469a-a176-26c9f351575d,kawasaki,bajaj ct100,Front,None,Legal,Going ahead,0393c3d4-b48a-4bfb-b9de-9720ace369d7,no plate attached,Motorcycle,DUZWJE01623,MDZA18AY0JWE39134,Private,,22a190c4-46ae-469a-a176-26c9f351575d
230ac287-e4a8-47e9-a033-36d38fa01e98,YAMAHA,RS,Front,Steering,Legal,Going ahead,a01ef0ef-f2bf-498d-bbfb-8a0c87a7a07b,,Motorcycle,,,Private,,230ac287-e4a8-47e9-a033-36d38fa01e98
230ac287-e4a8-47e9-a033-36d38fa01e98,,,,,,,fcbe8520-7fa2-4343-bbce-411456569ee8,,Pedestrian,,,Private,,230ac287-e4a8-47e9-a033-36d38fa01e98
2367a01a-cf10-4330-9e18-4b7e0a847b09,TOYOTA FORTUNER,2017,Rear,None,Legal,Going ahead,ce274843-5f09-4cc3-a5c9-b833684e44d0,NPA,SUV,2GDC15836,,Private,,2367a01a-cf10-4330-9e18-4b7e0a847b09
2367a01a-cf10-4330-9e18-4b7e0a847b09,FUSO TRACTOR HEAD,2006,Front,None,Legal,Going ahead,22a493c7-a62f-4f50-8813-bb4ab17c50aa,NPA,Van,8M21-010415,,Private,,2367a01a-cf10-4330-9e18-4b7e0a847b09
257aeac4-ab25-444a-be36-9b851828174c,SRM Motorcycle ,,Multiple,None,,Going ahead,2f7f8acc-11ed-4519-830a-954bde790417,MA 28452 ,Motorcycle,,,Private,,257aeac4-ab25-444a-be36-9b851828174c
25de8d43-829f-4449-a0b3-f74f49b4a2ab,,,,,,,495e01d9-e685-4317-98e2-e2d80ae76fc2,,Pedestrian,,,Private,,25de8d43-829f-4449-a0b3-f74f49b4a2ab
25de8d43-829f-4449-a0b3-f74f49b4a2ab,,,,,,,bb5e2101-496a-40b3-bc96-70e0bccf2d08,,Motorcycle,,,Private,,25de8d43-829f-4449-a0b3-f74f49b4a2ab
2623fc8c-df84-40af-95c8-5f806ec3b24c,,,,,,,722a27bf-d85f-4742-b21f-b359c4a3aeaa,,Truck (Pick-Up),,,Private,,2623fc8c-df84-40af-95c8-5f806ec3b24c
2623fc8c-df84-40af-95c8-5f806ec3b24c,,,,,,,49075157-ddba-4e60-ad52-b183c2ebb0c3,,Motorcycle,,,Private,,2623fc8c-df84-40af-95c8-5f806ec3b24c
2629c5d8-fc85-4692-abcc-ac2a0197093f, Isuzu,Forward Aluminum Wing Van Truck,,,,,1f3e6e03-776f-41ef-85a5-5e5c78c44dba,PQA940,Truck (Rigid),6HH1252159,ENKR2010772c,Private,,2629c5d8-fc85-4692-abcc-ac2a0197093f
2629c5d8-fc85-4692-abcc-ac2a0197093f,Rusi,,,,,,df1f14cd-233c-403c-83ea-a144c1b7c461,,Motorcycle,RF154FMI-MP164565,RFKXCJL49JA164565,Private,,2629c5d8-fc85-4692-abcc-ac2a0197093f
266bad65-0804-4e0b-b265-ccac15d4bf73,HONDA,,Multiple,,,Going ahead,95c376eb-eb45-4cd8-b8ce-3b2be07926ad,9610JL,Motorcycle,XRM16E084916,XRM16084915,Private,,266bad65-0804-4e0b-b265-ccac15d4bf73
266bad65-0804-4e0b-b265-ccac15d4bf73,MITSUBISHI,,Rear,,,,a73b319b-cd72-49d5-bf55-5fe0eff2c124,YFT711,Truck (Unknown),4DR7-852085,FB308B-540487,,,266bad65-0804-4e0b-b265-ccac15d4bf73
26b6ea5b-58fb-4e5f-bafb-942ca728910a,Honda XRM 125,,Multiple,Multiple,Legal,Merging,3c29b0a4-ddda-4e0a-a73b-b6c50590eda6,9487YL,Motorcycle,,,Private,,26b6ea5b-58fb-4e5f-bafb-942ca728910a
26b6ea5b-58fb-4e5f-bafb-942ca728910a, Kia,,Multiple,None,Legal,Going ahead,c7f4ff07-aef4-456b-9473-177b073abe41, 120110,Car,,,Public / For-Hire,,26b6ea5b-58fb-4e5f-bafb-942ca728910a
270ee4bc-3fa9-4e3e-842c-3332c0a808fc,,,,,,,8fe16a87-0a94-4e3f-80cb-f3c3cf8caf0f,,Bicycle,,,,,270ee4bc-3fa9-4e3e-842c-3332c0a808fc
270ee4bc-3fa9-4e3e-842c-3332c0a808fc,,,,,,,34d65814-8af3-4c3e-9320-aca3e1a15ff5,,Van,,,,,270ee4bc-3fa9-4e3e-842c-3332c0a808fc
275f5c3b-d6cd-404c-ad7b-ee726987c8ee,,,,,,,145afae4-d728-40d1-b770-eefa5a76b543,,Truck (Pick-Up),,,Private,,275f5c3b-d6cd-404c-ad7b-ee726987c8ee
